,molecule_chembl_id,canonical_smiles,mo_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50,standard_value,Max Phase,approve_class
5529,CHEMBL1165468,CCOC(=O)c1cc2cc(Nc3ncnc4cc(OCCCN(CC)CC)c(OC)cc34)ccc2s1,intermediate,508.644,5.8841,1,9,5.640164518,2290,0,non-approve
5530,CHEMBL1163749,CCOC(=O)c1cc2cc(Nc3ncnc4cc(OCCCN5CCC(C)CC5)c(OC)cc34)ccc2s1,intermediate,534.682,6.2742,1,9,5.879426069,1320,0,non-approve
5531,CHEMBL1172957,NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1,inactive,375.414,0.5805,3,8,5,10000,0,non-approve
5532,CHEMBL1172802,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(F)cc1,intermediate,319.292,2.49542,0,6,5.233587153,5840,0,non-approve
5533,CHEMBL1172803,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1,intermediate,335.747,3.00972,0,6,5.321481621,4770,0,non-approve
5534,CHEMBL1173651,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Br)cc1,intermediate,380.198,3.11882,0,6,5.332547047,4650,0,non-approve
5535,CHEMBL1173652,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1,inactive,301.302,2.35632,0,6,4.967381239,10780,0,non-approve
5536,CHEMBL1173653,Cc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,intermediate,315.329,2.66474,0,6,5.015472687,9650,0,non-approve
5537,CHEMBL1173713,COc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,inactive,331.328,2.36492,0,7,4.844056982,14320,0,non-approve
5538,CHEMBL1173714,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(C(C)C)cc1,intermediate,343.383,3.47972,0,6,5.001304842,9970,0,non-approve
5539,CHEMBL1173718,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,intermediate,377.4,4.02332,0,6,5.66756154,2150,0,non-approve
5540,CHEMBL1173783,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(OCc2ccccc2)cc1,intermediate,407.426,3.93532,0,7,5.460923901,3460,0,non-approve
5541,CHEMBL1172877,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F,inactive,319.292,2.49542,0,6,4.384470776,41260,0,non-approve
5542,CHEMBL1172878,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl,inactive,335.747,3.00972,0,6,4.438302467,36450,0,non-approve
5543,CHEMBL1172947,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Br,inactive,380.198,3.11882,0,6,4.348237553,44850,0,non-approve
5544,CHEMBL1173789,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1[N+](=O)[O-],inactive,346.299,2.26452,0,8,4.397940009,40000,0,non-approve
5545,CHEMBL1171273,COc1ccccc1/C=C/C(=O)OCCn1c([N+](=O)[O-])cnc1C,inactive,331.328,2.36492,0,7,4.301029996,50000,0,non-approve
5546,CHEMBL1172950,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc([N+](=O)[O-])c1,inactive,346.299,2.26452,0,8,4.71354353,19340,0,non-approve
5547,CHEMBL1172951,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc(F)c1,inactive,319.292,2.49542,0,6,4.775985189,16750,0,non-approve
5548,CHEMBL1173014,COc1cccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)c1,inactive,331.328,2.36492,0,7,4.725380381,18820,0,non-approve
5549,CHEMBL1170278,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc2ccccc12,intermediate,351.362,3.50952,0,6,5.298432015,5030,0,non-approve
5550,CHEMBL1170459,Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1,intermediate,351.362,3.50952,0,6,5.034328029,9240,0,non-approve
5551,CHEMBL1242482,O=C(O)c1ccc(C(=O)/C(=C\c2ccc(F)c([N+](=O)[O-])c2)SCc2ccc(Br)cc2)cc1,inactive,516.344,6.3518,1,5,5,10000,0,non-approve
5552,CHEMBL1254007,Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,inactive,445.376,5.5625,2,5,5,10000,0,non-approve
5553,CHEMBL1256436,Cc1cc(Nc2nc3cccc(Cl)c3o2)ccc1-c1nn([C@H]2CC[C@H](N3CCN(C)CC3)CC2)c2ncnc(N)c12,active,572.117,5.65322,2,10,6.320572103,478,0,non-approve
